internal_ticker,exchange_ticker,price_source_symbol,company_name,cik,exchange,country,currency,security_type,calibration_cohort_id,calibration_cohort,start_date,end_date,eligibility_basis,membership_status,successor_ticker,event_type,confidence,source_url,notes
SHIP,SHIP,SHIP,Seanergy Maritime Holdings Corp,0001448397,Nasdaq,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
DSX,DSX,DSX,Diana Shipping Inc.,0001318885,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
SMHI,SMHI,SMHI,SEACOR Marine Holdings Inc.,0001690334,NYSE,United States,USD,Common Stock,marine_shipping_and_maritime,Marine Shipping & Maritime,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
EDRY,EDRY,EDRY,EuroDry Ltd.,0001731388,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
HMR,HMR,HMR,Heidmar Maritime Holdings Corp.,0002029471,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2025-02-20,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
GLBS,GLBS,GLBS,Globus Maritime Limited,0001499780,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
NCT,NCT,NCT,Intercont (Cayman) Limited,0002018529,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2025-03-28,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
HTCO,HTCO,HTCO,High-Trend International Group,0001928948,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2021-09-27,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
USEA,USEA,USEA,United Maritime Corporation,0001912847,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2022-07-06,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
UFG,UFG,UFG,Uni-Fuels Holdings Limited,0002021688,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2025-01-14,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
EHLD,EHLD,EHLD,Euroholdings Ltd.,0002032779,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2025-03-11,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
VNTG,VNTG,VNTG,Vantage Corp,0002027160,NYSE,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2025-06-12,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
PSHG,PSHG,PSHG,Performance Shipping Inc.,0001481241,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CTRM,CTRM,CTRM,Castor Maritime Inc.,0001720161,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2019-02-11,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
ICON,ICON,ICON,Icon Energy Corp.,0001995574,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2024-07-12,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CISS,CISS,CISS,C3is Inc.,0001951067,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2023-06-14,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
RUBI,RUBI,RUBI,Rubico Inc.,0001943421,Nasdaq,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2025-08-04,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
UNP,UNP,UNP,Union Pacific Corporation,0000100885,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CSX,CSX,CSX,CSX Corporation,0000277948,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CP,CP,CP,Canadian Pacific Kansas City Limited,0000016875,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CNI,CNI,CNI,Canadian National Railway Company,0000016868,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
NSC,NSC,NSC,Norfolk Southern Corporation,0000702165,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
TRN,TRN,TRN,"Trinity Industries, Inc.",0000099780,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
GBX,GBX,GBX,"The Greenbrier Companies, Inc.",0000923120,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
FSTR,FSTR,FSTR,L.B. Foster Company,0000352825,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
RAIL,RAIL,RAIL,"FreightCar America, Inc.",0001320854,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
SWVL,SWVL,SWVL,Swvl Holdings Corp.,0001875609,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2021-03-15,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
